,,,,,,,,,
M1SPSU01_ON_REQUEST,D7.01,HOLDING REGISTER  Registro 7 offset bit 1,,,,,,,
M1SPSU01_OFF_REQUEST,D7.02,HOLDING REGISTER  Registro 7 offset bit 2,,,,,,,
M1SPSU01_RESET_REQUEST,D7.03,HOLDING REGISTER  Registro 7 offset bit 3,,,,,,,
M1SPSU02_ON_REQUEST,D7.04,HOLDING REGISTER  Registro 7 offset bit 4,,,,,,,
M1SPSU02_OFF_REQUEST,D7.05,HOLDING REGISTER  Registro 7 offset bit 5,,,,,,,
M1SPSU02_RESET_REQUEST,D7.06,HOLDING REGISTER  Registro 7 offset bit 6,,,,,,,
SPSU01_ON_REQUEST,D7.07,HOLDING REGISTER  Registro 7 offset bit 7,,,,,,,
SPSU01_OFF_REQUEST,D7.08,HOLDING REGISTER  Registro 7 offset bit 8,,,,,,,
SPSU01_RESET_REQUEST,D7.09,HOLDING REGISTER  Registro 7 offset bit 9,,,,,,,
M2SPSU02_ON_REQUEST,D7.10,HOLDING REGISTER  Registro 7 offset bit 10,,,,,,,
M2SPSU02_OFF_REQUEST,D7.11,HOLDING REGISTER  Registro 7 offset bit 11,,,,,,,
M2SPSU02_RESET_REQUEST,D7.12,HOLDING REGISTER  Registro 7 offset bit 12,,,,,,,
M2SPSU03_ON_REQUEST,D7.13,HOLDING REGISTER  Registro 7 offset bit 13,,,,,,,
M2SPSU03_OFF_REQUEST,D7.14,HOLDING REGISTER  Registro 7 offset bit 14,,,,,,,
M2SPSU03_RESET_REQUEST,D7.15,HOLDING REGISTER  Registro 7 offset bit 15,,,,,,,
M2SPSU04_ON_REQUEST,D8.01,HOLDING REGISTER  Registro 8 offset bit 1,,,,,,,
M2SPSU04_OFF_REQUEST,D8.02,HOLDING REGISTER  Registro 8 offset bit 2,,,,,,,
M2SPSU04_RESET_REQUEST,D8.03,HOLDING REGISTER  Registro 8 offset bit 3,,,,,,,
M2SPSU05_ON_REQUEST,D8.04,HOLDING REGISTER  Registro 8 offset bit 4,,,,,,,
M2SPSU05_OFF_REQUEST,D8.05,HOLDING REGISTER  Registro 8 offset bit 5,,,,,,,
M2SPSU05_RESET_REQUEST,D8.06,HOLDING REGISTER  Registro 8 offset bit 6,,,,,,,
SPSU02_ON_REQUEST,D8.07,HOLDING REGISTER  Registro 8 offset bit 7,,,,,,,
SPSU02_OFF_REQUEST,D8.08,HOLDING REGISTER  Registro 8 offset bit 8,,,,,,,
SPSU02_RESET_REQUEST,D8.09,HOLDING REGISTER  Registro 8 offset bit 9,,,,,,,
QPSU01_ON_REQUEST,D8.10,HOLDING REGISTER  Registro 8 offset bit 10,,,,,,,
QPSU01_OFF_REQUEST,D8.11,HOLDING REGISTER  Registro 8 offset bit 11,,,,,,,
QPSU01_RESET_REQUEST,D8.12,HOLDING REGISTER  Registro 8 offset bit 12,,,,,,,
QPSU02_ON_REQUEST,D8.13,HOLDING REGISTER  Registro 8 offset bit 13,,,,,,,
QPSU02_OFF_REQUEST,D8.14,HOLDING REGISTER  Registro 8 offset bit 14,,,,,,,
QPSU02_RESET_REQUEST,D8.15,HOLDING REGISTER  Registro 8 offset bit 15,,,,,,,
QPSU03_ON_REQUEST,D9.01,HOLDING REGISTER  Registro 9 offset bit 1,,,,,,,
QPSU03_OFF_REQUEST,D9.02,HOLDING REGISTER  Registro 9 offset bit 2,,,,,,,
QPSU03_RESET_REQUEST,D9.03,HOLDING REGISTER  Registro 9 offset bit 3,,,,,,,
DPSU01_ON_REQUEST,D9.04,HOLDING REGISTER  Registro 9 offset bit 4,,,,,,,
DPSU01_OFF_REQUEST,D9.05,HOLDING REGISTER  Registro 9 offset bit 5,,,,,,,
DPSU01_RESET_REQUEST,D9.06,HOLDING REGISTER  Registro 9 offset bit 6,,,,,,,
CPSU03_ON_REQUEST,D9.07,HOLDING REGISTER  Registro 9 offset bit 7,,,,,,,
CPSU03_OFF_REQUEST,D9.08,HOLDING REGISTER  Registro 9 offset bit 8,,,,,,,
CPSU03_RESET_REQUEST,D9.09,HOLDING REGISTER  Registro 9 offset bit 9,,,,,,,
BDUMP01_ON_REQUEST,D9.10,HOLDING REGISTER  Registro 9 offset bit 10,,,,,,,
BDUMP01_OFF_REQUEST,D9.11,HOLDING REGISTER  Registro 9 offset bit 11,,,,,,,
BDUMP01_RESET_REQUEST,D9.12,HOLDING REGISTER  Registro 9 offset bit 12,,,,,,,
,,,,,,,,,
,,,,,,,,,
